classifying 326 laws
  10/326 | {'HAS_FINITE_MODEL': 1, 'NO_FINITE_MODEL': 5, 'OPEN': 1, 'TRIVIAL': 3}
  20/326 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 7, 'OPEN': 2, 'TRIVIAL': 7}
  30/326 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 10, 'OPEN': 5, 'TRIVIAL': 10}
  40/326 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 14, 'OPEN': 7, 'TRIVIAL': 13}
  50/326 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 17, 'OPEN': 9, 'TRIVIAL': 15}
  60/326 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 9, 'NO_FINITE_MODEL': 21, 'OPEN': 11, 'TRIVIAL': 18}
  70/326 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 9, 'NO_FINITE_MODEL': 23, 'OPEN': 13, 'TRIVIAL': 23}
  80/326 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 9, 'NO_FINITE_MODEL': 27, 'OPEN': 13, 'TRIVIAL': 29}
  90/326 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 32, 'OPEN': 14, 'TRIVIAL': 31}
  100/326 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 37, 'OPEN': 15, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 34}
  110/326 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 14, 'NO_FINITE_MODEL': 37, 'OPEN': 15, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 41}
  120/326 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 14, 'NO_FINITE_MODEL': 43, 'OPEN': 16, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 44}
  130/326 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 14, 'NO_FINITE_MODEL': 46, 'OPEN': 18, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 49}
  140/326 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 15, 'NO_FINITE_MODEL': 49, 'OPEN': 19, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 53}
  150/326 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 15, 'NO_FINITE_MODEL': 51, 'OPEN': 22, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 58}
  160/326 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 16, 'NO_FINITE_MODEL': 52, 'OPEN': 23, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 65}
  170/326 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 18, 'NO_FINITE_MODEL': 56, 'OPEN': 24, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 68}
  180/326 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 19, 'NO_FINITE_MODEL': 59, 'OPEN': 25, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 73}
