classifying 455 laws
  10/455 | {'NO_FINITE_MODEL': 5, 'OPEN': 4, 'TRIVIAL': 1}
  20/455 | {'AUSTIN_PROVEN': 1, 'NO_FINITE_MODEL': 9, 'OPEN': 7, 'TRIVIAL': 3}
  30/455 | {'AUSTIN_PROVEN': 1, 'NO_FINITE_MODEL': 13, 'OPEN': 8, 'TRIVIAL': 8}
  40/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 16, 'OPEN': 10, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 9}
  50/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 23, 'OPEN': 11, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 11}
  60/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 26, 'OPEN': 14, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 14}
  70/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 31, 'OPEN': 16, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 17}
  80/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 37, 'OPEN': 18, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 19}
  90/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 6, 'NO_FINITE_MODEL': 41, 'OPEN': 21, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 20}
  100/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 7, 'NO_FINITE_MODEL': 45, 'OPEN': 23, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 23}
  110/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 48, 'OPEN': 23, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 28}
  120/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 55, 'OPEN': 23, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 31}
  130/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 9, 'NO_FINITE_MODEL': 61, 'OPEN': 26, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 31}
  140/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 12, 'NO_FINITE_MODEL': 65, 'OPEN': 28, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 32}
