nohup: ignoring input
[1] order5big_0014: THEOREM (60.4s)  running={'THEOREM': 1}
[2] order5big_0028: THEOREM (60.2s)  running={'THEOREM': 2}
[3] order5big_0045: THEOREM (60.2s)  running={'THEOREM': 3}
[4] order5big_0059: THEOREM (60.2s)  running={'THEOREM': 4}
[5] order5big_0073: HARD_NONLINEAR (120.1s)  running={'THEOREM': 4, 'HARD_NONLINEAR': 1}
[6] order5big_0089: THEOREM (60.2s)  running={'THEOREM': 5, 'HARD_NONLINEAR': 1}
[7] order5big_0107: THEOREM (60.5s)  running={'THEOREM': 6, 'HARD_NONLINEAR': 1}
[8] order5big_0127: THEOREM (60.1s)  running={'THEOREM': 7, 'HARD_NONLINEAR': 1}
[9] order5big_0153: THEOREM (60.5s)  running={'THEOREM': 8, 'HARD_NONLINEAR': 1}
[10] order5big_0168: THEOREM (60.6s)  running={'THEOREM': 9, 'HARD_NONLINEAR': 1}
[11] order5big_0181: THEOREM (60.2s)  running={'THEOREM': 10, 'HARD_NONLINEAR': 1}
[12] order5big_0200: THEOREM (72.3s)  running={'THEOREM': 11, 'HARD_NONLINEAR': 1}
[13] order5big_0219: THEOREM (61.3s)  running={'THEOREM': 12, 'HARD_NONLINEAR': 1}
[14] order5big_0237: THEOREM (60.2s)  running={'THEOREM': 13, 'HARD_NONLINEAR': 1}
[15] order5big_0256: THEOREM (60.1s)  running={'THEOREM': 14, 'HARD_NONLINEAR': 1}
[16] order5big_0272: THEOREM (60.2s)  running={'THEOREM': 15, 'HARD_NONLINEAR': 1}
[17] order5big_0296: THEOREM (60.1s)  running={'THEOREM': 16, 'HARD_NONLINEAR': 1}
[18] order5big_0314: THEOREM (60.2s)  running={'THEOREM': 17, 'HARD_NONLINEAR': 1}
[19] order5big_0340: THEOREM (60.2s)  running={'THEOREM': 18, 'HARD_NONLINEAR': 1}
[20] order5big_0354: THEOREM (60.2s)  running={'THEOREM': 19, 'HARD_NONLINEAR': 1}
[21] order5big_0368: THEOREM (60.5s)  running={'THEOREM': 20, 'HARD_NONLINEAR': 1}
[22] order5big_0385: THEOREM (60.2s)  running={'THEOREM': 21, 'HARD_NONLINEAR': 1}
[23] order5big_0401: THEOREM (60.2s)  running={'THEOREM': 22, 'HARD_NONLINEAR': 1}
[24] order5big_0416: THEOREM (60.2s)  running={'THEOREM': 23, 'HARD_NONLINEAR': 1}
[25] order5big_0434: THEOREM (60.3s)  running={'THEOREM': 24, 'HARD_NONLINEAR': 1}
[26] order5big_0458: THEOREM (60.6s)  running={'THEOREM': 25, 'HARD_NONLINEAR': 1}
[27] order5big_0473: THEOREM (60.2s)  running={'THEOREM': 26, 'HARD_NONLINEAR': 1}
[28] order5big_0490: THEOREM (60.4s)  running={'THEOREM': 27, 'HARD_NONLINEAR': 1}
[29] order5big_0507: THEOREM (60.4s)  running={'THEOREM': 28, 'HARD_NONLINEAR': 1}
[30] order5big_0528: THEOREM (60.4s)  running={'THEOREM': 29, 'HARD_NONLINEAR': 1}
[31] order5big_0554: THEOREM (60.7s)  running={'THEOREM': 30, 'HARD_NONLINEAR': 1}
[32] order5big_0584: SOLVED_FMB (0.2s)  running={'THEOREM': 30, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[33] order5big_0603: THEOREM (60.1s)  running={'THEOREM': 31, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[34] order5big_0630: THEOREM (60.4s)  running={'THEOREM': 32, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[35] order5big_0643: THEOREM (84.3s)  running={'THEOREM': 33, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[36] order5big_0662: THEOREM (60.2s)  running={'THEOREM': 34, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[37] order5big_0673: THEOREM (18.6s)  running={'THEOREM': 35, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[38] order5big_0700: THEOREM (60.2s)  running={'THEOREM': 36, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[39] order5big_0715: THEOREM (60.2s)  running={'THEOREM': 37, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[40] order5big_0733: THEOREM (73.1s)  running={'THEOREM': 38, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[41] order5big_0754: THEOREM (60.5s)  running={'THEOREM': 39, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[42] order5big_0775: THEOREM (62.8s)  running={'THEOREM': 40, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[43] order5big_0798: THEOREM (4.3s)  running={'THEOREM': 41, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[44] order5big_0815: THEOREM (60.4s)  running={'THEOREM': 42, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[45] order5big_0831: THEOREM (60.1s)  running={'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[46] order5big_0846: THEOREM (205.9s)  running={'THEOREM': 44, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[47] order5big_0867: THEOREM (60.5s)  running={'THEOREM': 45, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[48] order5big_0893: THEOREM (0.6s)  running={'THEOREM': 46, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[49] order5big_0919: THEOREM (60.2s)  running={'THEOREM': 47, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[50] order5big_0934: THEOREM (61.9s)  running={'THEOREM': 48, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[51] order5big_0963: THEOREM (60.2s)  running={'THEOREM': 49, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[52] order5big_0996: THEOREM (60.4s)  running={'THEOREM': 50, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[53] order5big_1026: THEOREM (60.4s)  running={'THEOREM': 51, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
[54] order5big_1039: THEOREM (60.2s)  running={'THEOREM': 52, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 1}
