nohup: ignoring input
[1] order5big_0002: THEOREM (62.2s)  running={'THEOREM': 1}
[2] order5big_0018: THEOREM (60.6s)  running={'THEOREM': 2}
[3] order5big_0032: THEOREM (60.4s)  running={'THEOREM': 3}
[4] order5big_0047: THEOREM (60.7s)  running={'THEOREM': 4}
[5] order5big_0064: THEOREM (60.3s)  running={'THEOREM': 5}
[6] order5big_0075: THEOREM (62.7s)  running={'THEOREM': 6}
[7] order5big_0094: THEOREM (60.2s)  running={'THEOREM': 7}
[8] order5big_0110: THEOREM (60.3s)  running={'THEOREM': 8}
[9] order5big_0132: THEOREM (60.3s)  running={'THEOREM': 9}
[10] order5big_0157: THEOREM (60.4s)  running={'THEOREM': 10}
[11] order5big_0173: THEOREM (60.2s)  running={'THEOREM': 11}
[12] order5big_0184: THEOREM (60.3s)  running={'THEOREM': 12}
[13] order5big_0203: THEOREM (60.2s)  running={'THEOREM': 13}
[14] order5big_0222: THEOREM (60.3s)  running={'THEOREM': 14}
[15] order5big_0243: THEOREM (60.4s)  running={'THEOREM': 15}
[16] order5big_0258: THEOREM (60.2s)  running={'THEOREM': 16}
[17] order5big_0274: THEOREM (247.4s)  running={'THEOREM': 17}
[18] order5big_0300: THEOREM (60.4s)  running={'THEOREM': 18}
[19] order5big_0316: THEOREM (60.2s)  running={'THEOREM': 19}
[20] order5big_0342: THEOREM (60.2s)  running={'THEOREM': 20}
[21] order5big_0358: HARD_NONLINEAR (120.1s)  running={'THEOREM': 20, 'HARD_NONLINEAR': 1}
[22] order5big_0370: THEOREM (60.2s)  running={'THEOREM': 21, 'HARD_NONLINEAR': 1}
[23] order5big_0393: THEOREM (60.6s)  running={'THEOREM': 22, 'HARD_NONLINEAR': 1}
[24] order5big_0406: THEOREM (60.5s)  running={'THEOREM': 23, 'HARD_NONLINEAR': 1}
[25] order5big_0420: THEOREM (60.1s)  running={'THEOREM': 24, 'HARD_NONLINEAR': 1}
[26] order5big_0440: THEOREM (60.4s)  running={'THEOREM': 25, 'HARD_NONLINEAR': 1}
[27] order5big_0461: THEOREM (60.2s)  running={'THEOREM': 26, 'HARD_NONLINEAR': 1}
[28] order5big_0479: THEOREM (60.5s)  running={'THEOREM': 27, 'HARD_NONLINEAR': 1}
[29] order5big_0495: THEOREM (60.2s)  running={'THEOREM': 28, 'HARD_NONLINEAR': 1}
