nohup: ignoring input
[1] order5big_0004: THEOREM (60.1s)  running={'THEOREM': 1}
[2] order5big_0021: THEOREM (60.2s)  running={'THEOREM': 2}
[3] order5big_0035: THEOREM (60.2s)  running={'THEOREM': 3}
[4] order5big_0054: THEOREM (60.2s)  running={'THEOREM': 4}
[5] order5big_0066: THEOREM (60.2s)  running={'THEOREM': 5}
[6] order5big_0081: THEOREM (60.2s)  running={'THEOREM': 6}
[7] order5big_0100: THEOREM (60.2s)  running={'THEOREM': 7}
[8] order5big_0119: THEOREM (60.2s)  running={'THEOREM': 8}
[9] order5big_0138: THEOREM (60.2s)  running={'THEOREM': 9}
[10] order5big_0163: THEOREM (60.2s)  running={'THEOREM': 10}
[11] order5big_0175: THEOREM (62.0s)  running={'THEOREM': 11}
[12] order5big_0187: THEOREM (60.2s)  running={'THEOREM': 12}
[13] order5big_0208: THEOREM (60.5s)  running={'THEOREM': 13}
[14] order5big_0230: THEOREM (60.2s)  running={'THEOREM': 14}
[15] order5big_0246: THEOREM (60.4s)  running={'THEOREM': 15}
[16] order5big_0266: THEOREM (60.2s)  running={'THEOREM': 16}
[17] order5big_0284: THEOREM (60.6s)  running={'THEOREM': 17}
[18] order5big_0307: THEOREM (60.2s)  running={'THEOREM': 18}
[19] order5big_0331: SOLVED_FMB (0.6s)  running={'THEOREM': 18, 'SOLVED_FMB': 1}
[20] order5big_0347: THEOREM (60.4s)  running={'THEOREM': 19, 'SOLVED_FMB': 1}
[21] order5big_0362: THEOREM (23.7s)  running={'THEOREM': 20, 'SOLVED_FMB': 1}
[22] order5big_0377: THEOREM (60.2s)  running={'THEOREM': 21, 'SOLVED_FMB': 1}
[23] order5big_0395: THEOREM (60.2s)  running={'THEOREM': 22, 'SOLVED_FMB': 1}
[24] order5big_0409: SOLVED_FMB (0.4s)  running={'THEOREM': 22, 'SOLVED_FMB': 2}
[25] order5big_0425: THEOREM (60.5s)  running={'THEOREM': 23, 'SOLVED_FMB': 2}
[26] order5big_0446: THEOREM (60.3s)  running={'THEOREM': 24, 'SOLVED_FMB': 2}
[27] order5big_0467: THEOREM (72.0s)  running={'THEOREM': 25, 'SOLVED_FMB': 2}
[28] order5big_0483: THEOREM (60.5s)  running={'THEOREM': 26, 'SOLVED_FMB': 2}
[29] order5big_0500: THEOREM (60.2s)  running={'THEOREM': 27, 'SOLVED_FMB': 2}
[30] order5big_0515: HARD_NONLINEAR (120.1s)  running={'THEOREM': 27, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[31] order5big_0542: THEOREM (60.6s)  running={'THEOREM': 28, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[32] order5big_0563: THEOREM (60.2s)  running={'THEOREM': 29, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[33] order5big_0594: THEOREM (60.4s)  running={'THEOREM': 30, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[34] order5big_0618: THEOREM (60.2s)  running={'THEOREM': 31, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[35] order5big_0638: THEOREM (60.6s)  running={'THEOREM': 32, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[36] order5big_0657: THEOREM (60.2s)  running={'THEOREM': 33, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[37] order5big_0666: THEOREM (60.2s)  running={'THEOREM': 34, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[38] order5big_0684: THEOREM (60.2s)  running={'THEOREM': 35, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[39] order5big_0708: THEOREM (60.2s)  running={'THEOREM': 36, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[40] order5big_0725: THEOREM (60.2s)  running={'THEOREM': 37, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[41] order5big_0747: THEOREM (60.2s)  running={'THEOREM': 38, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[42] order5big_0762: THEOREM (60.1s)  running={'THEOREM': 39, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[43] order5big_0786: THEOREM (60.2s)  running={'THEOREM': 40, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[44] order5big_0807: THEOREM (60.2s)  running={'THEOREM': 41, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[45] order5big_0820: THEOREM (60.4s)  running={'THEOREM': 42, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[46] order5big_0838: THEOREM (60.2s)  running={'THEOREM': 43, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[47] order5big_0856: THEOREM (60.3s)  running={'THEOREM': 44, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[48] order5big_0877: THEOREM (62.1s)  running={'THEOREM': 45, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[49] order5big_0909: THEOREM (60.2s)  running={'THEOREM': 46, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[50] order5big_0929: THEOREM (60.2s)  running={'THEOREM': 47, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[51] order5big_0950: THEOREM (60.2s)  running={'THEOREM': 48, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[52] order5big_0984: THEOREM (60.2s)  running={'THEOREM': 49, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[53] order5big_1009: THEOREM (60.2s)  running={'THEOREM': 50, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[54] order5big_1033: THEOREM (60.2s)  running={'THEOREM': 51, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[55] order5big_1048: THEOREM (60.2s)  running={'THEOREM': 52, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[56] order5big_1068: THEOREM (60.1s)  running={'THEOREM': 53, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[57] order5big_1092: THEOREM (60.3s)  running={'THEOREM': 54, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[58] order5big_1111: THEOREM (60.6s)  running={'THEOREM': 55, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[59] order5big_1133: THEOREM (60.6s)  running={'THEOREM': 56, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[60] order5big_1153: THEOREM (28.3s)  running={'THEOREM': 57, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[61] order5big_1167: THEOREM (60.2s)  running={'THEOREM': 58, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
[62] order5big_1194: THEOREM (60.1s)  running={'THEOREM': 59, 'SOLVED_FMB': 2, 'HARD_NONLINEAR': 1}
