classifying 325 laws
  10/325 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 1, 'OPEN': 3, 'TRIVIAL': 4}
  20/325 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 7, 'OPEN': 3, 'TRIVIAL': 8}
  30/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 9, 'OPEN': 5, 'TRIVIAL': 11}
  40/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 11, 'OPEN': 7, 'TRIVIAL': 16}
  50/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 11, 'OPEN': 9, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 23}
  60/325 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 8, 'NO_FINITE_MODEL': 12, 'OPEN': 10, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 28}
  70/325 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 10, 'NO_FINITE_MODEL': 15, 'OPEN': 12, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 30}
  80/325 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 11, 'NO_FINITE_MODEL': 20, 'OPEN': 13, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 33}
  90/325 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 12, 'NO_FINITE_MODEL': 24, 'OPEN': 13, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 38}
  100/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 14, 'NO_FINITE_MODEL': 27, 'OPEN': 15, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 39}
  110/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 17, 'NO_FINITE_MODEL': 31, 'OPEN': 15, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 42}
  120/325 | {'AUSTIN_PROVEN': 4, 'HAS_FINITE_MODEL': 18, 'NO_FINITE_MODEL': 34, 'OPEN': 17, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 46}
  130/325 | {'AUSTIN_PROVEN': 5, 'HAS_FINITE_MODEL': 21, 'NO_FINITE_MODEL': 37, 'OPEN': 18, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 48}
  140/325 | {'AUSTIN_PROVEN': 6, 'HAS_FINITE_MODEL': 21, 'NO_FINITE_MODEL': 40, 'OPEN': 20, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 52}
  150/325 | {'AUSTIN_PROVEN': 6, 'HAS_FINITE_MODEL': 21, 'NO_FINITE_MODEL': 44, 'OPEN': 23, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 54}
  160/325 | {'AUSTIN_PROVEN': 6, 'HAS_FINITE_MODEL': 21, 'NO_FINITE_MODEL': 46, 'OPEN': 25, 'SATISFIABLE_ONLY': 2, 'TRIVIAL': 60}
