nohup: ignoring input
[1] order5big_0004: THEOREM (60.1s)  running={'THEOREM': 1}
[2] order5big_0012: LINEAR (0.0s)  running={'THEOREM': 1, 'LINEAR': 1}
[3] order5big_0020: THEOREM (60.6s)  running={'THEOREM': 2, 'LINEAR': 1}
[4] order5big_0028: THEOREM (60.3s)  running={'THEOREM': 3, 'LINEAR': 1}
[5] order5big_0036: LINEAR (0.0s)  running={'THEOREM': 3, 'LINEAR': 2}
[6] order5big_0044: LINEAR (0.0s)  running={'THEOREM': 3, 'LINEAR': 3}
[7] order5big_0052: LINEAR (0.0s)  running={'THEOREM': 3, 'LINEAR': 4}
[8] order5big_0060: THEOREM (60.5s)  running={'THEOREM': 4, 'LINEAR': 4}
[9] order5big_0068: THEOREM (60.2s)  running={'THEOREM': 5, 'LINEAR': 4}
[10] order5big_0076: THEOREM (60.2s)  running={'THEOREM': 6, 'LINEAR': 4}
[11] order5big_0084: THEOREM (60.2s)  running={'THEOREM': 7, 'LINEAR': 4}
[12] order5big_0092: LINEAR (0.0s)  running={'THEOREM': 7, 'LINEAR': 5}
[13] order5big_0100: THEOREM (60.2s)  running={'THEOREM': 8, 'LINEAR': 5}
[14] order5big_0108: LINEAR (0.0s)  running={'THEOREM': 8, 'LINEAR': 6}
[15] order5big_0116: LINEAR (0.0s)  running={'THEOREM': 8, 'LINEAR': 7}
[16] order5big_0124: LINEAR (0.0s)  running={'THEOREM': 8, 'LINEAR': 8}
[17] order5big_0132: THEOREM (60.3s)  running={'THEOREM': 9, 'LINEAR': 8}
[18] order5big_0140: THEOREM (60.2s)  running={'THEOREM': 10, 'LINEAR': 8}
[19] order5big_0148: LINEAR (0.0s)  running={'THEOREM': 10, 'LINEAR': 9}
[20] order5big_0156: LINEAR (0.0s)  running={'THEOREM': 10, 'LINEAR': 10}
[21] order5big_0164: LINEAR (0.0s)  running={'THEOREM': 10, 'LINEAR': 11}
[22] order5big_0172: LINEAR (0.0s)  running={'THEOREM': 10, 'LINEAR': 12}
[23] order5big_0180: THEOREM (60.2s)  running={'THEOREM': 11, 'LINEAR': 12}
[24] order5big_0188: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 13}
[25] order5big_0196: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 14}
[26] order5big_0204: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 15}
[27] order5big_0212: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 16}
[28] order5big_0220: SOLVED_FMB (11.7s)  running={'THEOREM': 11, 'LINEAR': 16, 'SOLVED_FMB': 1}
[29] order5big_0228: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 17, 'SOLVED_FMB': 1}
[30] order5big_0236: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 18, 'SOLVED_FMB': 1}
[31] order5big_0244: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 19, 'SOLVED_FMB': 1}
[32] order5big_0252: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 20, 'SOLVED_FMB': 1}
[33] order5big_0260: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 21, 'SOLVED_FMB': 1}
[34] order5big_0268: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 22, 'SOLVED_FMB': 1}
[35] order5big_0276: LINEAR (0.0s)  running={'THEOREM': 11, 'LINEAR': 23, 'SOLVED_FMB': 1}
[36] order5big_0284: THEOREM (60.6s)  running={'THEOREM': 12, 'LINEAR': 23, 'SOLVED_FMB': 1}
[37] order5big_0292: THEOREM (60.2s)  running={'THEOREM': 13, 'LINEAR': 23, 'SOLVED_FMB': 1}
[38] order5big_0300: THEOREM (60.4s)  running={'THEOREM': 14, 'LINEAR': 23, 'SOLVED_FMB': 1}
[39] order5big_0308: LINEAR (0.0s)  running={'THEOREM': 14, 'LINEAR': 24, 'SOLVED_FMB': 1}
[40] order5big_0316: THEOREM (60.2s)  running={'THEOREM': 15, 'LINEAR': 24, 'SOLVED_FMB': 1}
[41] order5big_0324: SOLVED_FMB (2.0s)  running={'THEOREM': 15, 'LINEAR': 24, 'SOLVED_FMB': 2}
[42] order5big_0332: LINEAR (0.0s)  running={'THEOREM': 15, 'LINEAR': 25, 'SOLVED_FMB': 2}
[43] order5big_0340: THEOREM (60.2s)  running={'THEOREM': 16, 'LINEAR': 25, 'SOLVED_FMB': 2}
[44] order5big_0348: THEOREM (60.2s)  running={'THEOREM': 17, 'LINEAR': 25, 'SOLVED_FMB': 2}
[45] order5big_0356: LINEAR (0.0s)  running={'THEOREM': 17, 'LINEAR': 26, 'SOLVED_FMB': 2}
[46] order5big_0364: THEOREM (60.6s)  running={'THEOREM': 18, 'LINEAR': 26, 'SOLVED_FMB': 2}
[47] order5big_0372: SOLVED_FMB (140.0s)  running={'THEOREM': 18, 'LINEAR': 26, 'SOLVED_FMB': 3}
[48] order5big_0380: THEOREM (61.1s)  running={'THEOREM': 19, 'LINEAR': 26, 'SOLVED_FMB': 3}
[49] order5big_0388: LINEAR (0.0s)  running={'THEOREM': 19, 'LINEAR': 27, 'SOLVED_FMB': 3}
[50] order5big_0396: THEOREM (60.1s)  running={'THEOREM': 20, 'LINEAR': 27, 'SOLVED_FMB': 3}
[51] order5big_0404: LINEAR (0.0s)  running={'THEOREM': 20, 'LINEAR': 28, 'SOLVED_FMB': 3}
[52] order5big_0412: THEOREM (60.4s)  running={'THEOREM': 21, 'LINEAR': 28, 'SOLVED_FMB': 3}
[53] order5big_0420: THEOREM (60.2s)  running={'THEOREM': 22, 'LINEAR': 28, 'SOLVED_FMB': 3}
[54] order5big_0428: THEOREM (60.1s)  running={'THEOREM': 23, 'LINEAR': 28, 'SOLVED_FMB': 3}
[55] order5big_0436: LINEAR (0.0s)  running={'THEOREM': 23, 'LINEAR': 29, 'SOLVED_FMB': 3}
[56] order5big_0444: LINEAR (0.0s)  running={'THEOREM': 23, 'LINEAR': 30, 'SOLVED_FMB': 3}
[57] order5big_0452: LINEAR (0.0s)  running={'THEOREM': 23, 'LINEAR': 31, 'SOLVED_FMB': 3}
[58] order5big_0460: LINEAR (0.0s)  running={'THEOREM': 23, 'LINEAR': 32, 'SOLVED_FMB': 3}
[59] order5big_0468: LINEAR (0.0s)  running={'THEOREM': 23, 'LINEAR': 33, 'SOLVED_FMB': 3}
[60] order5big_0476: LINEAR (0.0s)  running={'THEOREM': 23, 'LINEAR': 34, 'SOLVED_FMB': 3}
[61] order5big_0484: LINEAR (0.0s)  running={'THEOREM': 23, 'LINEAR': 35, 'SOLVED_FMB': 3}
[62] order5big_0492: THEOREM (35.4s)  running={'THEOREM': 24, 'LINEAR': 35, 'SOLVED_FMB': 3}
[63] order5big_0500: THEOREM (60.2s)  running={'THEOREM': 25, 'LINEAR': 35, 'SOLVED_FMB': 3}
[64] order5big_0508: THEOREM (60.5s)  running={'THEOREM': 26, 'LINEAR': 35, 'SOLVED_FMB': 3}
[65] order5big_0516: LINEAR (0.0s)  running={'THEOREM': 26, 'LINEAR': 36, 'SOLVED_FMB': 3}
[66] order5big_0524: THEOREM (60.2s)  running={'THEOREM': 27, 'LINEAR': 36, 'SOLVED_FMB': 3}
[67] order5big_0532: LINEAR (0.0s)  running={'THEOREM': 27, 'LINEAR': 37, 'SOLVED_FMB': 3}
[68] order5big_0540: LINEAR (0.0s)  running={'THEOREM': 27, 'LINEAR': 38, 'SOLVED_FMB': 3}
[69] order5big_0548: LINEAR (0.0s)  running={'THEOREM': 27, 'LINEAR': 39, 'SOLVED_FMB': 3}
