nohup: ignoring input
[1] order5big_0002: THEOREM (62.2s)  running={'THEOREM': 1}
[2] order5big_0010: THEOREM (60.1s)  running={'THEOREM': 2}
[3] order5big_0018: THEOREM (60.6s)  running={'THEOREM': 3}
[4] order5big_0026: LINEAR (0.0s)  running={'THEOREM': 3, 'LINEAR': 1}
[5] order5big_0034: THEOREM (60.2s)  running={'THEOREM': 4, 'LINEAR': 1}
[6] order5big_0042: THEOREM (60.6s)  running={'THEOREM': 5, 'LINEAR': 1}
[7] order5big_0050: THEOREM (60.2s)  running={'THEOREM': 6, 'LINEAR': 1}
[8] order5big_0058: THEOREM (60.2s)  running={'THEOREM': 7, 'LINEAR': 1}
[9] order5big_0066: THEOREM (60.2s)  running={'THEOREM': 8, 'LINEAR': 1}
[10] order5big_0074: THEOREM (60.1s)  running={'THEOREM': 9, 'LINEAR': 1}
[11] order5big_0082: THEOREM (60.2s)  running={'THEOREM': 10, 'LINEAR': 1}
[12] order5big_0090: LINEAR (0.0s)  running={'THEOREM': 10, 'LINEAR': 2}
[13] order5big_0098: THEOREM (61.2s)  running={'THEOREM': 11, 'LINEAR': 2}
[14] order5big_0106: THEOREM (60.5s)  running={'THEOREM': 12, 'LINEAR': 2}
[15] order5big_0114: LINEAR (0.0s)  running={'THEOREM': 12, 'LINEAR': 3}
[16] order5big_0122: THEOREM (60.2s)  running={'THEOREM': 13, 'LINEAR': 3}
[17] order5big_0130: LINEAR (0.0s)  running={'THEOREM': 13, 'LINEAR': 4}
[18] order5big_0138: THEOREM (60.2s)  running={'THEOREM': 14, 'LINEAR': 4}
[19] order5big_0146: LINEAR (0.0s)  running={'THEOREM': 14, 'LINEAR': 5}
[20] order5big_0154: LINEAR (0.0s)  running={'THEOREM': 14, 'LINEAR': 6}
[21] order5big_0162: LINEAR (0.0s)  running={'THEOREM': 14, 'LINEAR': 7}
[22] order5big_0170: THEOREM (61.2s)  running={'THEOREM': 15, 'LINEAR': 7}
[23] order5big_0178: LINEAR (0.0s)  running={'THEOREM': 15, 'LINEAR': 8}
[24] order5big_0186: THEOREM (60.2s)  running={'THEOREM': 16, 'LINEAR': 8}
[25] order5big_0194: THEOREM (60.2s)  running={'THEOREM': 17, 'LINEAR': 8}
[26] order5big_0202: LINEAR (0.0s)  running={'THEOREM': 17, 'LINEAR': 9}
[27] order5big_0210: LINEAR (0.0s)  running={'THEOREM': 17, 'LINEAR': 10}
[28] order5big_0218: LINEAR (0.0s)  running={'THEOREM': 17, 'LINEAR': 11}
[29] order5big_0226: LINEAR (0.0s)  running={'THEOREM': 17, 'LINEAR': 12}
[30] order5big_0234: LINEAR (0.0s)  running={'THEOREM': 17, 'LINEAR': 13}
[31] order5big_0242: LINEAR (0.0s)  running={'THEOREM': 17, 'LINEAR': 14}
[32] order5big_0250: LINEAR (0.0s)  running={'THEOREM': 17, 'LINEAR': 15}
[33] order5big_0258: THEOREM (60.2s)  running={'THEOREM': 18, 'LINEAR': 15}
[34] order5big_0266: THEOREM (60.2s)  running={'THEOREM': 19, 'LINEAR': 15}
[35] order5big_0274: THEOREM (249.3s)  running={'THEOREM': 20, 'LINEAR': 15}
[36] order5big_0282: LINEAR (0.0s)  running={'THEOREM': 20, 'LINEAR': 16}
[37] order5big_0290: THEOREM (60.2s)  running={'THEOREM': 21, 'LINEAR': 16}
[38] order5big_0298: SOLVED_FMB (10.9s)  running={'THEOREM': 21, 'LINEAR': 16, 'SOLVED_FMB': 1}
[39] order5big_0306: LINEAR (0.0s)  running={'THEOREM': 21, 'LINEAR': 17, 'SOLVED_FMB': 1}
[40] order5big_0314: THEOREM (60.2s)  running={'THEOREM': 22, 'LINEAR': 17, 'SOLVED_FMB': 1}
[41] order5big_0322: LINEAR (0.0s)  running={'THEOREM': 22, 'LINEAR': 18, 'SOLVED_FMB': 1}
[42] order5big_0330: LINEAR (0.0s)  running={'THEOREM': 22, 'LINEAR': 19, 'SOLVED_FMB': 1}
[43] order5big_0338: THEOREM (47.1s)  running={'THEOREM': 23, 'LINEAR': 19, 'SOLVED_FMB': 1}
