nohup: ignoring input
[1] order5big_0005: LINEAR (0.0s)  running={'LINEAR': 1}
[2] order5big_0013: THEOREM (60.2s)  running={'LINEAR': 1, 'THEOREM': 1}
[3] order5big_0021: THEOREM (60.2s)  running={'LINEAR': 1, 'THEOREM': 2}
[4] order5big_0029: LINEAR (0.0s)  running={'LINEAR': 2, 'THEOREM': 2}
[5] order5big_0037: THEOREM (60.7s)  running={'LINEAR': 2, 'THEOREM': 3}
[6] order5big_0045: THEOREM (60.2s)  running={'LINEAR': 2, 'THEOREM': 4}
[7] order5big_0053: LINEAR (0.0s)  running={'LINEAR': 3, 'THEOREM': 4}
[8] order5big_0061: LINEAR (0.0s)  running={'LINEAR': 4, 'THEOREM': 4}
[9] order5big_0069: THEOREM (60.2s)  running={'LINEAR': 4, 'THEOREM': 5}
[10] order5big_0077: LINEAR (0.0s)  running={'LINEAR': 5, 'THEOREM': 5}
[11] order5big_0085: LINEAR (0.0s)  running={'LINEAR': 6, 'THEOREM': 5}
[12] order5big_0093: THEOREM (60.2s)  running={'LINEAR': 6, 'THEOREM': 6}
[13] order5big_0101: LINEAR (0.0s)  running={'LINEAR': 7, 'THEOREM': 6}
[14] order5big_0109: THEOREM (60.3s)  running={'LINEAR': 7, 'THEOREM': 7}
[15] order5big_0117: LINEAR (0.0s)  running={'LINEAR': 8, 'THEOREM': 7}
[16] order5big_0125: LINEAR (0.0s)  running={'LINEAR': 9, 'THEOREM': 7}
[17] order5big_0133: SOLVED_FMB (1.9s)  running={'LINEAR': 9, 'THEOREM': 7, 'SOLVED_FMB': 1}
[18] order5big_0141: LINEAR (0.0s)  running={'LINEAR': 10, 'THEOREM': 7, 'SOLVED_FMB': 1}
[19] order5big_0149: LINEAR (0.0s)  running={'LINEAR': 11, 'THEOREM': 7, 'SOLVED_FMB': 1}
[20] order5big_0157: THEOREM (60.4s)  running={'LINEAR': 11, 'THEOREM': 8, 'SOLVED_FMB': 1}
[21] order5big_0165: THEOREM (60.8s)  running={'LINEAR': 11, 'THEOREM': 9, 'SOLVED_FMB': 1}
[22] order5big_0173: THEOREM (60.2s)  running={'LINEAR': 11, 'THEOREM': 10, 'SOLVED_FMB': 1}
[23] order5big_0181: THEOREM (60.2s)  running={'LINEAR': 11, 'THEOREM': 11, 'SOLVED_FMB': 1}
[24] order5big_0189: LINEAR (0.0s)  running={'LINEAR': 12, 'THEOREM': 11, 'SOLVED_FMB': 1}
