classifying 455 laws
  10/455 | {'HAS_FINITE_MODEL': 1, 'NO_FINITE_MODEL': 4, 'OPEN': 2, 'TRIVIAL': 3}
  20/455 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 8, 'OPEN': 4, 'TRIVIAL': 6}
  30/455 | {'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 14, 'OPEN': 4, 'TRIVIAL': 10}
  40/455 | {'AUSTIN_PROVEN': 1, 'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 17, 'OPEN': 4, 'TRIVIAL': 16}
  50/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 21, 'OPEN': 8, 'TRIVIAL': 17}
  60/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 2, 'NO_FINITE_MODEL': 29, 'OPEN': 8, 'TRIVIAL': 19}
  70/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 34, 'OPEN': 10, 'TRIVIAL': 21}
  80/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 38, 'OPEN': 12, 'TRIVIAL': 25}
  90/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 43, 'OPEN': 14, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 27}
  100/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 3, 'NO_FINITE_MODEL': 48, 'OPEN': 15, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 31}
  110/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 53, 'OPEN': 16, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 34}
  120/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 57, 'OPEN': 20, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 36}
  130/455 | {'AUSTIN_PROVEN': 2, 'HAS_FINITE_MODEL': 4, 'NO_FINITE_MODEL': 62, 'OPEN': 21, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 40}
  140/455 | {'AUSTIN_PROVEN': 3, 'HAS_FINITE_MODEL': 5, 'NO_FINITE_MODEL': 66, 'OPEN': 22, 'SATISFIABLE_ONLY': 1, 'TRIVIAL': 43}
